"gene_name","uniprot","hgnc_symbol","ensembl"
"MT-ND1","P03886","MT-ND1","ENSG00000198888"
"MT-ND2","P03891","MT-ND2","ENSG00000198763"
"MT-CO1","P00395","MT-CO1","ENSG00000198804"
"MT-CO2","P00403","MT-CO2","ENSG00000198712"
"MT-ATP8","P03928","MT-ATP8","ENSG00000228253"
"MT-ATP6","P00846","MT-ATP6","ENSG00000198899"
"MT-CO3","P00414","MT-CO3","ENSG00000198938"
"MT-ND3","P03897","MT-ND3","ENSG00000198840"
"MT-ND4L","P03901","MT-ND4L","ENSG00000212907"
"MT-ND4","P03905","MT-ND4","ENSG00000198886"
"MT-ND5","P03915","MT-ND5","ENSG00000198786"
"MT-ND6","P03923","MT-ND6","ENSG00000198695"
"MT-CYB","P00156","MT-CYB","ENSG00000198727"
"KLF13","Q9Y2Y9","KLF13","ENSG00000169926"
"MPV17L","Q2QL34","MPV17L","ENSG00000275543"
"SMIM34B","P0DPE8","SMIM34B","ENSG00000278961"
"KCNE1B","A0A087WTH5","KCNE1B","ENSG00000276289"
"CNOT3","O75175","CNOT3","ENSG00000277114"
"LENG1","Q96BZ8","LENG1","ENSG00000277808"
"MARF1","Q9Y4F3","MARF1","ENSG00000277140"
"DNAJA3","Q96EY1","DNAJA3","ENSG00000276726"
"CHGA","P10645","CHGA","ENSG00000276781"
"PDK3","Q15120","PDK3","ENSG00000067992"
"TTYH1","Q9H313","TTYH1","ENSG00000276537"
"BMERB1","Q96MC5","BMERB1","ENSG00000278823"
"PAXBP1","Q9Y5B6","PAXBP1","ENSG00000263141"
"OR2AG2","A6NM03","OR2AG2","ENSG00000188124"
"CDH9","Q9ULB4","CDH9","ENSG00000113100"
"OR2AG1","Q9H205","OR2AG1","ENSG00000279486"
"PRAME","P78395","PRAME","ENSG00000275013"
"TMEM106B","Q9NUM4","TMEM106B","ENSG00000106460"
"DNAJC27","Q9NZQ0","DNAJC27","ENSG00000115137"
"GOLGA6L22","H0YM25","GOLGA6L22","ENSG00000277865"
"OTUD7A","Q8TE49","OTUD7A","ENSG00000169918"
"IAH1","Q2TAA2","IAH1","ENSG00000134330"
"C21orf62","Q9NYP8","C21orf62","ENSG00000262938"
"OR11A1","Q9GZK7","OR11A1","ENSG00000230780"
"GABRA5","P31644","GABRA5","ENSG00000186297"
"TRIM26","Q12899","TRIM26","ENSG00000234127"
"OR10C1","Q96KK4","OR10C1","ENSG00000224234"
"OR5V1","Q9UGF6","OR5V1","ENSG00000233046"
"OR12D2","P58182","OR12D2","ENSG00000235966"
"OR6A2","O95222","OR6A2","ENSG00000184933"
"NAPEPLD","Q6IQ20","NAPEPLD","ENSG00000275723"
"ZNF214","Q9UL59","ZNF214","ENSG00000149050"
"SLC23A2","Q9UGH3","SLC23A2","ENSG00000089057"
"OR2D3","Q8NGH3","OR2D3","ENSG00000178358"
"NME8","Q8N427","NME8","ENSG00000086288"
"ADAM17","P78536","ADAM17","ENSG00000151694"
"ZNF215","Q9UL58","ZNF215","ENSG00000149054"
"GABRB3","P28472","GABRB3","ENSG00000166206"
"GATD3B","A0A0B4J2D5","GATD3B","ENSG00000280071"
"OR10A5","Q9H207","OR10A5","ENSG00000166363"
"OR2D2","Q9H210","OR2D2","ENSG00000166368"
"SFRP4","Q6FHJ7","SFRP4","ENSG00000106483"
"OR10A4","Q9H209","OR10A4","ENSG00000170782"
"OR10A2","Q9H208","OR10A2","ENSG00000170790"
"HIST1H2BL","Q99880","HIST1H2BL","ENSG00000185130"
"EPDR1","Q9UM22","EPDR1","ENSG00000086289"
"FAM8A1","Q9UBU6","FAM8A1","ENSG00000137414"
"HIST1H2AI","P0C0S8","HIST1H2AI","ENSG00000196747"
"HIST1H3H","P68431","HIST1H3H","ENSG00000278828"
"GPR141","Q7Z602","GPR141","ENSG00000187037"
"HIST1H1B","P16401","HIST1H1B","ENSG00000184357"
"HIST1H2AL","P0C0S8","HIST1H2AL","ENSG00000276903"
