id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	is_ppi	curator	reactome_complex	reactome_reaction	reactome_pathway	complexPortal_complex	comments
	Ldopa_byTYR	P51810		GP143_HUMAN	curated	reactome;uniprot	FALSE	LGarciaAlonso	R-HSA-8851302	R-HSA-8851298			
	SerotoninDopamin_byDDC	A5X5Y0		5HT3E_HUMAN	curated	uniprot	FALSE	LGarciaAlonso					
	Acetylcholine_byCHAT	AcetylcholineReceptor_a2b3			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Acetylcholine_byCHAT	AcetylcholineReceptor_a3b2a5			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Acetylcholine_byCHAT	AcetylcholineReceptor_a3b4a5			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Acetylcholine_byCHAT	AcetylcholineReceptor_a4b2			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Acetylcholine_byCHAT	AcetylcholineReceptor_a6a4b3			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Acetylcholine_byCHAT	AcetylcholineReceptor_a6b3b4			curated	reactome	FALSE	LGarciaAlonso		R-HSA-629599			
	Progesterone_byHSD3B1	CatSperChannel1b			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel1dg			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel2b			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel2dg			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel3b			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel3dg			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel4b			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Progesterone_byHSD3B1	CatSperChannel4dg			curated	uniprot;reactome	FALSE	LGarciaAlonso	R-HSA-2534353	R-HSA-2534388			
	Dehydroepiandrosterone_bySTS	O75469		NR1I2_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
	Estradiol_byCYP19A1	O75469		NR1I2_HUMAN	curated	HMRbase	FALSE	LGarciaAlonso					
