,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
A1BG,0.39,0.32,0.16,0.45,0.07,0.21,0.19,0.22,0.13,0.2,0.11,0.26,0.24
A1BG-AS1,0.02,0.03,0.07,0.03,0.01,0.04,0.01,0.03,0.02,0.02,0.01,0.02,0.03
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.28,0.22,0.01,0.05,0.02,0.03,0.03,0.03,0.01,0.05,0.01,0.02,0.01
A2M-AS1,0.03,0.01,0.0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A2ML1,0.02,0.04,0.32,0.0,0.01,0.08,0.03,0.07,0.13,0.15,0.11,0.24,0.21
A2ML1-AS1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.21,0.57,0.47,0.07,0.01,0.18,0.09,0.09,0.33,0.09,0.21,0.3,0.24
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,0.77,0.77,0.54,0.71,0.34,0.43,0.5,0.4,0.46,0.23,0.32,0.35,0.29
AACS,0.06,0.17,0.18,0.1,0.1,0.13,0.15,0.14,0.21,0.1,0.13,0.14,0.12
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.31,0.22,0.08,0.35,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.18,0.15,0.13,0.15,0.17,0.21,0.11,0.06,0.13,0.02,0.05,0.05,0.04
AAED1,0.36,0.47,0.08,0.3,0.23,0.28,0.12,0.17,0.04,0.09,0.05,0.11,0.1
AAGAB,0.44,0.56,0.36,0.55,0.61,0.51,0.24,0.25,0.35,0.13,0.21,0.19,0.19
AAK1,0.31,0.35,0.34,0.3,0.19,0.33,0.23,0.21,0.28,0.12,0.15,0.18,0.17
AAMDC,0.7,0.67,0.35,0.94,0.69,0.52,0.48,0.42,0.56,0.38,0.61,0.48,0.51
AAMP,0.84,0.89,0.34,0.78,0.47,0.48,0.57,0.58,0.72,0.63,0.59,0.61,0.57
AANAT,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
AAR2,0.35,0.47,0.32,0.45,0.38,0.43,0.3,0.28,0.31,0.18,0.21,0.24,0.22
