cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	lineage	celltype
Somatic.Ti	C7	0.0	1.4566030539515245	0.938	0.213	0.0	Somatic	Ti
Somatic.Ti	CXCL12	0.0	1.4377383216907644	0.928	0.204	0.0	Somatic	Ti
Somatic.Ti	COL15A1	0.0	1.4349219175367396	0.821	0.107	0.0	Somatic	Ti
Somatic.Ti	PLAC9	0.0	1.4173636849152949	0.796	0.065	0.0	Somatic	Ti
Somatic.Ti	SPARCL1	0.0	1.373006260525151	0.915	0.163	0.0	Somatic	Ti
Somatic.Ti	RPS4Y1	0.0	1.3373094736530824	0.929	0.174	0.0	Somatic	Ti
Somatic.Ti	NID1	0.0	1.3336004474584915	0.811	0.098	0.0	Somatic	Ti
Somatic.Ti	DLK1	0.0	1.28593382451655	0.981	0.27	0.0	Somatic	Ti
Somatic.Ti	CYP1B1	0.0	1.272009722481647	0.662	0.054	0.0	Somatic	Ti
Somatic.Ti	MSC	0.0	1.2245764899665714	0.631	0.034	0.0	Somatic	Ti
Somatic.Ti	INHBA	0.0	1.218486356973346	0.681	0.076	0.0	Somatic	Ti
Somatic.Ti	TSHZ2	0.0	1.2160953155018384	0.941	0.287	0.0	Somatic	Ti
Somatic.Ti	HSPB6	0.0	1.211428881214966	0.877	0.201	0.0	Somatic	Ti
Somatic.Ti	BGN	0.0	1.209137193945642	0.936	0.308	0.0	Somatic	Ti
Somatic.Ti	COL5A1	0.0	1.0842269575657526	0.792	0.183	0.0	Somatic	Ti
Somatic.Ti	LHFPL6	0.0	1.0724304769126998	0.726	0.134	0.0	Somatic	Ti
Somatic.Ti	PDGFRB	0.0	1.0719146422567902	0.698	0.132	0.0	Somatic	Ti
Somatic.Ti	TCIM	0.0	1.0529361503563246	0.552	0.044	0.0	Somatic	Ti
Somatic.Ti	ENG	0.0	1.0320263690959244	0.714	0.157	0.0	Somatic	Ti
Somatic.Ti	COL1A1	0.0	1.0059866866526077	0.997	0.494	0.0	Somatic	Ti
Somatic.Ti	PDGFRA	0.0	0.987917900660059	0.846	0.24	0.0	Somatic	Ti
Somatic.Ti	EGFLAM	0.0	0.9851515593860812	0.579	0.07	0.0	Somatic	Ti
Somatic.Ti	TCF21	0.0	0.9847118774446972	0.792	0.203	0.0	Somatic	Ti
Somatic.Ti	LTBP4	0.0	0.9813112820621888	0.894	0.355	0.0	Somatic	Ti
Somatic.Ti	BCHE	0.0	0.9749611781745076	0.528	0.076	0.0	Somatic	Ti
Somatic.Ti	DCN	0.0	0.9534608113130532	0.986	0.487	0.0	Somatic	Ti
Somatic.Ti	HTRA3	0.0	0.941284073833036	0.574	0.076	0.0	Somatic	Ti
Somatic.Ti	OSR2	0.0	0.940096624260283	0.557	0.088	0.0	Somatic	Ti
Somatic.Ti	MFAP4	0.0	0.9386153256093288	0.904	0.331	0.0	Somatic	Ti
