,Endo.Arterial_EC,Endo.Fenestrated_EC,Endo.Glomerular_EC,Endo.Lymphatic_EC,Endo.Venous_EC,Endothelial,Epi.Epi_Mullerian,Epi.Epi_mesonephros,Epi.Epi_wolffian,Somatic.CoelEpi_LHX9,Somatic.FetalLeydig,Somatic.Gi,Somatic.Oi,Somatic.Sertoli,Somatic.Ti,Somatic.early_sPAX8,Somatic.early_supporting,Somatic.late_sPAX8,Somatic.preGC_I
A1BG,0.03,0.03,0.02,0.04,0.04,0.06,0.05,0.11,0.02,0.2,0.03,0.07,0.05,0.03,0.02,0.08,0.13,0.04,0.11
A1BG-AS1,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.02,0.0,0.01
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.98,0.95,0.94,0.53,0.96,0.95,0.0,0.01,0.01,0.03,0.18,0.06,0.08,0.01,0.07,0.01,0.01,0.06,0.01
A2M-AS1,0.01,0.02,0.01,0.04,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01
A2ML1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.02,0.05,0.02,0.01,0.16,0.01,0.06,0.12,0.04,0.11
A2ML1-AS1,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
A3GALT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.23,0.07,0.07,0.35,0.04,0.07,0.09,0.3,0.35,0.08,0.21,0.04,0.05,0.13,0.01,0.41,0.32,0.19,0.21
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,0.23,0.34,0.35,0.29,0.24,0.31,0.54,0.55,0.55,0.46,0.39,0.51,0.28,0.24,0.24,0.36,0.46,0.27,0.32
AACS,0.1,0.13,0.11,0.14,0.08,0.13,0.13,0.16,0.2,0.13,0.26,0.12,0.08,0.11,0.09,0.1,0.21,0.09,0.13
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.02,0.05,0.06,0.04,0.02,0.04,0.17,0.14,0.16,0.09,0.08,0.11,0.04,0.02,0.05,0.08,0.13,0.03,0.05
AAED1,0.28,0.16,0.32,0.24,0.12,0.15,0.13,0.2,0.16,0.11,0.09,0.05,0.05,0.12,0.04,0.04,0.04,0.13,0.05
AAGAB,0.18,0.18,0.27,0.21,0.1,0.16,0.34,0.38,0.42,0.21,0.35,0.16,0.08,0.13,0.07,0.17,0.34,0.14,0.21
AAK1,0.32,0.35,0.23,0.28,0.24,0.35,0.2,0.2,0.25,0.21,0.32,0.19,0.14,0.19,0.13,0.16,0.27,0.09,0.15
AAMDC,0.35,0.39,0.36,0.54,0.35,0.41,0.42,0.48,0.52,0.5,0.79,0.43,0.36,0.33,0.35,0.43,0.55,0.41,0.61
AAMP,0.47,0.53,0.52,0.48,0.54,0.6,0.66,0.75,0.79,0.53,0.65,0.63,0.52,0.45,0.46,0.55,0.72,0.52,0.59
AANAT,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
AAR2,0.24,0.24,0.29,0.25,0.17,0.24,0.34,0.4,0.42,0.28,0.37,0.28,0.18,0.14,0.18,0.21,0.31,0.2,0.21
AARD,0.0,0.01,0.02,0.01,0.01,0.04,0.01,0.0,0.02,0.02,0.03,0.01,0.02,0.25,0.01,0.01,0.01,0.02,0.0
AARS,0.25,0.3,0.27,0.31,0.21,0.29,0.29,0.37,0.4,0.35,0.38,0.32,0.2,0.2,0.19,0.21,0.32,0.23,0.24
AARS2,0.07,0.11,0.1,0.09,0.05,0.11,0.12,0.14,0.16,0.1,0.12,0.14,0.08,0.05,0.07,0.07,0.1,0.06,0.07
AARSD1,0.1,0.1,0.07,0.1,0.1,0.11,0.13,0.08,0.11,0.12,0.18,0.08,0.12,0.09,0.12,0.09,0.07,0.14,0.08
AASDH,0.12,0.15,0.13,0.14,0.12,0.18,0.28,0.31,0.33,0.22,0.27,0.25,0.16,0.15,0.13,0.19,0.26,0.15,0.19
AASDHPPT,0.39,0.44,0.45,0.4,0.36,0.47,0.71,0.8,0.79,0.64,0.65,0.69,0.47,0.35,0.43,0.51,0.63,0.43,0.53
AASS,0.08,0.1,0.06,0.03,0.07,0.14,0.14,0.13,0.16,0.13,0.13,0.12,0.07,0.11,0.06,0.05,0.12,0.11,0.08
AATBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATF,0.2,0.25,0.23,0.23,0.18,0.25,0.62,0.51,0.55,0.61,0.28,0.31,0.17,0.19,0.13,0.21,0.31,0.18,0.16
AATK,0.07,0.01,0.03,0.0,0.01,0.02,0.03,0.04,0.05,0.02,0.0,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.01
AB015752.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABALON,0.01,0.01,0.0,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0
ABAT,0.01,0.01,0.01,0.02,0.01,0.06,0.07,0.17,0.29,0.03,0.08,0.09,0.05,0.23,0.08,0.16,0.23,0.13,0.18
ABCA1,0.2,0.18,0.09,0.23,0.05,0.16,0.11,0.16,0.21,0.14,0.16,0.33,0.26,0.16,0.03,0.31,0.4,0.06,0.32
ABCA10,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.01,0.0,0.32,0.04,0.16,0.02,0.33,0.0,0.01,0.02,0.02
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA2,0.06,0.05,0.04,0.02,0.03,0.06,0.1,0.07,0.11,0.02,0.08,0.03,0.04,0.13,0.09,0.04,0.05,0.09,0.05
ABCA3,0.08,0.03,0.06,0.07,0.01,0.03,0.02,0.05,0.04,0.03,0.06,0.0,0.01,0.04,0.01,0.02,0.01,0.07,0.03
ABCA4,0.03,0.01,0.0,0.2,0.0,0.01,0.0,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
ABCA5,0.08,0.06,0.02,0.17,0.04,0.1,0.12,0.12,0.24,0.13,0.43,0.08,0.11,0.29,0.07,0.15,0.14,0.13,0.17
ABCA6,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.0,0.03,0.0,0.16,0.02,0.08,0.01,0.08,0.0,0.06,0.0,0.01
ABCA7,0.02,0.01,0.0,0.01,0.0,0.01,0.04,0.01,0.06,0.03,0.03,0.01,0.01,0.03,0.0,0.02,0.06,0.01,0.04
ABCA8,0.0,0.01,0.0,0.06,0.01,0.06,0.0,0.0,0.0,0.03,0.48,0.02,0.08,0.23,0.36,0.01,0.04,0.05,0.12
ABCA9,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.01,0.0,0.14,0.03,0.09,0.01,0.13,0.0,0.03,0.01,0.01
ABCA9-AS1,0.01,0.01,0.0,0.07,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.44,0.0,0.04
ABCB1,0.03,0.02,0.0,0.0,0.06,0.06,0.0,0.08,0.26,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10,0.09,0.1,0.15,0.09,0.05,0.09,0.09,0.12,0.13,0.05,0.06,0.06,0.03,0.02,0.03,0.05,0.04,0.03,0.02
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB6,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.01,0.03,0.02,0.11,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
ABCB7,0.19,0.28,0.33,0.24,0.17,0.26,0.31,0.37,0.41,0.22,0.27,0.29,0.17,0.17,0.16,0.17,0.23,0.17,0.18
